arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
2p	20q	9	0	0	0	NA	0
2q	17p	9	0	18	18	0.137503523749935	0
3p	12q	9	1	9	12	0.519374159093579	6
3p	16q	9	0	0	0	NA	0
3p	20p	9	0	86	124	0.624672210523127	0
4p	14q	9	0	12	8	-0.383328639551506	0
4p	18q	9	0	2	0	-3.32192809488736	0
4q	12p	9	0	13	12	0.0329146224727353	0
5p	16p	9	0	2	9	2.20163386116965	0
5p	19q	9	0	2	0	-3.32192809488736	0
5p	21q	9	0	0	0	NA	0
5p	Xq	9	0	17	6	-1.1426043954428	0
5q	9p	9	1	22	7	-1.25779775746765	0
5q	20p	9	0	22	14	-0.441509710640035	0
6q	9p	9	0	10	13	0.485426827170242	0
6q	20p	9	1	39	39	0.137503523749935	1
7p	10p	9	0	4	4	0.137503523749935	0
7p	12q	9	0	14	8	-0.574694165267329	0
8q	18p	9	0	7	6	-0.0631938264871941	0
9p	14q	9	1	11	0	-3.32192809488736	1
9p	16p	9	0	9	28	1.683072586171	0
9p	Xp	9	0	2	2	0.137503523749935	0
10p	14q	9	1	2	9	2.20163386116965	0
10p	16p	9	0	2	0	-3.32192809488736	0
10p	19p	9	0	13	6	-0.832543254148437	0
10p	Xp	9	1	0	0	NA	0
10q	Xq	9	0	6	0	-3.32192809488736	0
11p	16p	9	0	9	11	0.402964666978269	0
11p	20p	9	0	6	8	0.519374159093579	0
11p	Xq	9	0	15	6	-1	0
12p	21q	9	1	2	2	0.137503523749935	0
12q	18q	9	0	6	2	-1.20645087746743	0
13q	16p	9	0	1	3	1.63226821549951	0
13q	19q	9	0	6	0	-3.32192809488736	0
14q	16p	9	0	4	6	0.678071905112638	0
18q	19p	9	1	2	0	-3.32192809488736	2
19q	20p	9	0	6	2	-1.20645087746743	0
19q	21q	9	0	3	0	-3.32192809488736	0
20p	21q	9	2	0	0	NA	0
1p	18p	8	1	18	11	-0.491853096329675	1
2p	4p	8	0	7	4	-0.574694165267329	0
2p	16q	8	0	0	0	NA	0
2p	21q	8	0	0	0	NA	0
3q	17p	8	2	25	43	0.863938450423972	1
3q	21q	8	0	0	0	NA	0
4p	5q	8	0	4	8	1.0703893278914	0
4p	8p	8	0	1	6	2.60880924267552	0
4p	22q	8	0	0	0	NA	0
5p	7p	8	0	1	2	1.0703893278914	0
5q	19q	8	0	6	0	-3.32192809488736	0
6p	19p	8	0	5	5	0.137503523749935	0
6p	20p	8	0	10	7	-0.321928094887362	0
7p	9p	8	0	15	15	0.137503523749935	0
7p	16q	8	0	2	6	1.63226821549951	0
8p	18p	8	1	1	4	2.03562390973072	0
9p	11p	8	0	11	31	1.54506977359764	0
9p	13q	8	0	2	5	1.37851162325373	0
9p	16q	8	0	2	0	-3.32192809488736	0
9p	Xq	8	0	27	37	0.556179600092127	0
9q	11p	8	1	4	8	1.0703893278914	1
9q	18q	8	0	4	0	-3.32192809488736	0
10q	17p	8	1	4	4	0.137503523749935	1
11p	12p	8	0	12	23	1.01197264166608	0
11p	19p	8	0	7	18	1.41761144294267	0
12p	18q	8	0	2	0	-3.32192809488736	0
13q	18p	8	0	1	2	1.0703893278914	0
15q	17p	8	1	1	2	1.0703893278914	0
16q	Xq	8	0	4	0	-3.32192809488736	0
18q	Xq	8	0	2	0	-3.32192809488736	0
19p	Xq	8	0	4	9	1.23266075679027	0
20q	Xq	8	0	6	2	-1.20645087746743	0
21q	Xp	8	0	0	0	NA	0
2q	16p	7	0	17	14	-0.114770187246075	0
3p	9p	7	0	42	65	0.720382709970602	0
3q	18p	7	0	11	14	0.457045025800419	0
4p	9q	7	0	4	4	0.137503523749935	0
4p	10q	7	0	6	7	0.341036917835067	0
4p	20p	7	0	7	29	2.0850361038558	0
4p	Xp	7	0	1	6	2.60880924267552	0
4q	17p	7	0	4	6	0.678071905112638	0
4q	19p	7	0	14	24	0.859401669827199	0
5p	9q	7	0	4	13	1.74416109557041	0
5p	10q	7	1	2	4	1.0703893278914	1
5q	11p	7	0	5	15	1.63226821549951	0
7p	16p	7	0	8	9	0.292781749227846	0
7p	19p	7	0	11	10	0.0130561528254463	0
7p	20p	7	0	76	87	0.315840765008447	0
9p	18q	7	0	2	2	0.137503523749935	0
9p	19p	7	0	59	102	0.870908005238813	0
9q	10p	7	0	4	6	0.678071905112638	0
9q	19p	7	0	4	6	0.678071905112638	0
10p	20p	7	0	1	4	2.03562390973072	0
10q	18p	7	0	24	25	0.191141487352008	0
11p	18p	7	0	1	3	1.63226821549951	0
11p	19q	7	0	1	2	1.0703893278914	0
12p	16p	7	0	2	6	1.63226821549951	0
13q	20p	7	2	0	0	NA	0
13q	21p	7	0	1	2	1.0703893278914	0
14q	18p	7	1	6	0	-3.32192809488736	0
16q	21q	7	0	4	0	-3.32192809488736	0
18p	19q	7	1	4	2	-0.736965594166206	1
1p	17p	6	0	55	73	0.513261035366968	0
2p	5p	6	1	4	8	1.0703893278914	1
3q	16p	6	0	7	23	1.75946023195329	0
4p	10p	6	0	2	2	0.137503523749935	0
4p	11p	6	0	4	4	0.137503523749935	0
4p	12p	6	0	11	0	-3.32192809488736	0
4q	18p	6	0	6	8	0.519374159093579	0
5p	11p	6	0	6	8	0.519374159093579	0
5p	12p	6	0	6	7	0.341036917835067	0
6q	18p	6	0	6	4	-0.383328639551506	0
7p	21q	6	0	0	0	NA	0
9q	18p	6	0	2	8	2.03562390973072	0
9q	21q	6	0	0	0	NA	0
10p	18p	6	0	0	0	NA	0
12p	18p	6	0	8	2	-1.51457317282976	0
12p	19q	6	0	0	0	NA	0
14q	20p	6	0	2	4	1.0703893278914	0
14q	21q	6	0	2	10	2.35049724708413	0
16p	17p	6	1	8	12	0.678071905112638	0
16p	18q	6	0	1	6	2.60880924267552	0
16p	20p	6	0	2	2	0.137503523749935	0
16p	21q	6	0	2	0	-3.32192809488736	0
16q	20p	6	0	5	4	-0.15200309344505	0
17p	20p	6	1	0	0	NA	2
17p	Xp	6	0	0	0	NA	0
18p	21q	6	1	2	0	-3.32192809488736	0
18p	Xp	6	0	0	0	NA	0
19p	20p	6	0	1	8	3.01792190799726	0
21q	Xq	6	0	2	0	-3.32192809488736	0
1q	18p	5	0	14	20	0.612183969456181	0
